mechanism_string,matched_keywords,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8
Inhibition of mast cell activation/proliferation and regulation of substance P (SP) and vasoactive intestinal polypeptide (VIP) secretion,substance P,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
"Regulation of gastric motility, gastric mucosal blood flow, and brain-gut peptides (motilin, somatostatin)",STAT,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Promotion of neutrophil apoptosis and down-regulation of IL-1beta, IL-6, TNF-alpha",TNF,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
5-HT/AC/cAMP pathway activation,5-HT,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
SIRT1-mediated anti-inflammatory pathway promotion,anti-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Suppression of EMT via DPP4/SDF-1 axis,SDF-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
SFRP5/β-catenin/GSK-3β pathway regulation,GSK-3,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Activation of BNST GABAergic neurons,GABA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Modulation of the gut-brain axis via the PI3K/Akt pathway,gut-brain,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Regulation of macrophage polarization and immunoinflammatory responses,macrophage,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of the focal adhesion signaling pathway,focal adhesion,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Modulation of the spinal GABAergic-sympathetic pathway,sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
CRF signaling pathway modulation,CRF,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Inhibition of ferroptosis and epithelial-mesenchymal transition,ferroptosis,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Acupoint microcirculation enhancement,acupoint microcirculation,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Polyamine-related M2-macrophage polarization,macrophage,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Th17/Treg balance regulation,Treg,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Upregulation of nerve regeneration related proteins and metabolome changes,nerve regeneration,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Inhibition of the RhoA/ROCK pathway,RhoA,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"miRNAs expression modulation (e.g., rno-miR-92b-3p) and MAPK/Ras signaling pathways",MAPK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Intestinal flora and gut barrier regulation,intestinal flora,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Regulation of insular functional connectivity,functional connectivity,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Regulation of peripheral immune cell spectrum and inflammatory environment,immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
tPA/BDNF/TrkB pathway activation,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
TLR4/MyD88/NF-κB signaling pathway inhibition,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Neural regeneration and synaptogenesis promotion,synaptogenesis,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
SIRT1 and GLUT4 activation,SIRT1,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Modulation of ERK and p-ERK expression,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Regulation of brain-gut peptides (NPY, CCK, SST, GAS, PYY)",brain-gut,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Glutamatergic system inhibition and NMDAR-NO-cGMP signaling pathway downregulation in hippocampus,MDA,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
"Hypothalamic SIRT1/FOXO1 signaling, POMC and NPY gene expression modulation",hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Ghrelin and monoamine neurotransmitter modulation,monoamine,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Oxidative protein damage reduction and Hsp84/86 expression promotion,oxidative protein damage,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
PI3K/PDK1/nPKC/Rac1 signaling pathway downregulation,Rac1,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Humoral appetite regulation (ghrelin, CCK, 5-HT) and BDNF expression",BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Dendritic structure amelioration,dendritic,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Gastrointestinal transit modulation,gastrointestinal transit,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
"Regulation of NSC survival, proliferation, and differentiation related cytokines (bFGF, EGF, BDNF)",BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Upregulates G protein coupled activity,G protein coupled,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Modulation of serum inflammatory adipokines and glucose,inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Downregulation of NF-κB p65, miR-155, miR-21; upregulation of miR-146a",NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Restoration of gastric interstitial cells of Cajal (ICCs) morphology and number,ICC,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Decreased serum TNF-α,TNF,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of 5-HT secretion in the duodenum and activity of the NTS,5-HT,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Leptin and adiponectin levels modulation,adiponectin,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
PVN-DVC-vagus-gastric neural pathway and GI hormone/receptor modulation,vagus,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Insulin sensitivity improvement, serotonin, cholinergic nerve activity, NOS activity modulation",serotonin,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
"Free fatty acid reduction, improved insulin sensitivity",free fatty acid,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Blood glucose modulation,blood glucose,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
"Increased cerebral blood flow, amelioration of mitochondrial dysfunction and oxidative stress",cerebral blood,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Increasing TPI activity, correcting abnormal glycolysis metabolism",glycolysis,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
"Increased hippocampal Ref-1 expression, exerting anti-oxidant effects",AMPA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Reduced neuron loss in hippocampal CA3 and DG regions,AMPA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
"Enhances lipid peroxidation and reduces oxidative stress (G6PDH activity, MDA, GSH levels) in liver and kidney tissues",lipid peroxidation,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
"Decreased glycemia, lactacidemia, and liver/kidney lactate concentrations, possibly due to enhanced lactate to pyruvate conversion",glycemia,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
"Upregulation of glycometabolic enzyme activities (hexokinase, pyruvate kinase, G6PD)",hexokinase,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Prolongation of anesthetic effect,prolongation of anesthetic,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
"Counter-regulation of Bcl-2 and Bax gene expression, antiapoptotic effect",Bcl-2,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Enhancement of cell proliferation in dentate gyrus,dentate gyrus,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
DHT/SRD5A2 pathway downregulation,SRD5A2,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
mTOR/ROS signaling activation and ferroptosis inhibition,ROS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
p38 MAPK inhibition and microglial polarization,p38 MAPK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Suppression of hepatic Pdia3/Perk/Qrich1 expression,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of the Nrf2/SLC7A11/GPX4 pathway,Nrf2,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Suppression of P2X7R/NLRP3-mediated microglial pyroptosis,NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of the SIRT1/FOXO1 signaling pathway,SIRT1,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Dual regulation of PI3K/AKT/mTOR and AMPK/ULK1 pathways,ULK1,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
Mitophagy induction and NLRP3 inflammasome suppression,NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Protection of neurovascular units,neurovascular unit,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Inhibition of ERK1/2-Cx43 signaling axis,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
AMPK activation and ferroptosis inhibition,ferroptosis,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Ferroptosis inhibition via iron metabolism and oxidative stress modulation,iron metabolism,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Regulation of the TPH2/5-HT pathway via the gut-brain axis,gut-brain,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
PPARγ/NF-κB pathway activation and M2 macrophage polarization,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Complement system modulation,complement system,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Nrf2/HO-1 signaling pathway activation,Nrf2,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
p-PI3K/RAGE/TREM2 signaling modulation,PI3K,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"Electroacupuncture ameliorates myocardial fibrosis by restoring gut microbiota composition (Bacteroidota/Firmicutes balance) and reducing profibrotic metabolites (TMAO, phenylalanine), mediating cardioprotection via a microbiota-metabolite axis",ROS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
TRPV1 signaling inhibition,TRPV1,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
EAAT2/calcium signaling axis modulation,calcium signaling,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Tryptophan-indole metabolic pathway and NETs degradation,tryptophan,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Ferroptosis inhibition via iron metabolism and lipid peroxidation modulation,iron metabolism,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Astrocyte-to-neuron mitochondrial transfer via CD38-cADPR-Ca2+ signaling,astrocyt,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
α7nAChR-mediated JAK2/STAT3 pathway activation,JAK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Hippocampal CA1 pyramidal neuron activation,AMPA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Regulation of the JNK-NMDAR circuit,JNK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Transcriptomic regulation of Wnt signaling and muscle contraction,Wnt,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
NGF/TrkA signaling and sympathetic regulation,NGF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
DMH-RP-cardiac sympathetic pathway inhibition,sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
NCOA4-mediated ferritinophagy inhibition,ferritinophagy,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
xCT/System Xc- signaling activation,xCT,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Modulation of gut microbiota and metabolites,gut microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
